country,country_code,year,value
China,CHN,2005,2317551298052.05
China,CHN,2006,2791498472804.33
China,CHN,2007,3604055822571.63
China,CHN,2008,4667346414521.95
China,CHN,2009,5189577094997.58
China,CHN,2010,6192564874453.29
China,CHN,2011,7671757207851.29
China,CHN,2012,8673664713189.24
China,CHN,2013,9743124247267.24
China,CHN,2014,10674533168257.4
China,CHN,2015,11280814787468.9
Germany,DEU,2005,2893393187361.87
Germany,DEU,2006,3046308753670.58
Germany,DEU,2007,3484056680854.91
Germany,DEU,2008,3808197720125.0
Germany,DEU,2009,3478545516683.59
Germany,DEU,2010,3467093769666.67
Germany,DEU,2011,3823575803793.78
Germany,DEU,2012,3596483233406.25
Germany,DEU,2013,3807023797050.99
Germany,DEU,2014,3964870735760.77
Germany,DEU,2015,3425099578746.09
India,IND,2005,820383763511.445
India,IND,2006,940259888787.721
India,IND,2007,1216736438834.96
India,IND,2008,1198895139005.92
India,IND,2009,1341888016994.9
India,IND,2010,1675615519484.96
India,IND,2011,1823051829894.55
India,IND,2012,1827637590410.41
India,IND,2013,1856721507621.58
India,IND,2014,2039126479154.52
India,IND,2015,2103588360044.94
United States,USA,2005,13039197000000.0
United States,USA,2006,13815583000000.0
United States,USA,2007,14474228000000.0
United States,USA,2008,14769862000000.0
United States,USA,2009,14478067000000.0
United States,USA,2010,15048971000000.0
United States,USA,2011,15599732000000.0
United States,USA,2012,16253970000000.0
United States,USA,2013,16880683000000.0
United States,USA,2014,17608138000000.0
United States,USA,2015,18295019000000.0
